1-always-check-before-operating|_core/bash/git-sync-manager/1-always-check-before-operating
1-always-provide-defaults|_core/bash/json-config-loader/1-always-provide-defaults
1-always-set-a-default|_core/bash/parallel-batch-executor/1-always-set-a-default
1-always-use-set-e|_core/bash/bash-cli-framework/1-always-use-set-e
1-basic-menu-structure|_core/bash/interactive-menu-builder/1-basic-menu-structure
1-basic-parallel-execution-with-xargs|_core/bash/parallel-batch-executor/1-basic-parallel-execution-with-xargs
1-basic-usage-logging|_core/bash/usage-tracker/1-basic-usage-logging
1-build-artifacts|_internal/meta/repo-cleanup/1-build-artifacts
1-clear-triggering|_internal/builders/skill-creator/1-clear-triggering
1-color-definitions|_core/bash/bash-cli-framework/1-color-definitions
1-consistent-navigation|_core/bash/interactive-menu-builder/1-consistent-navigation
1-documentation-structure|_internal/documentation/mkdocs/1-documentation-structure
1-interactive-dashboard|_internal/builders/web-artifacts-builder/1-interactive-dashboard
1-keyvalue-configuration-parsing|_core/bash/json-config-loader/1-keyvalue-configuration-parsing
1-keyword-based-scoring|_core/bash/complexity-scorer/1-keyword-based-scoring
1-project-initialization|_internal/documentation/mkdocs/1-project-initialization
1-repository-discovery-from-gitignore|_core/bash/git-sync-manager/1-repository-discovery-from-gitignore
1-xdg-base-directory-standard|_core/bash/state-directory-manager/1-xdg-base-directory-standard
2-multi-level-menu-system|_core/bash/interactive-menu-builder/2-multi-level-menu-system
2-multi-phase-sync-pattern|_core/bash/git-sync-manager/2-multi-phase-sync-pattern
3-abbreviations|_internal/documentation/mkdocs/3-abbreviations
3-context-aware-scoring|_core/bash/complexity-scorer/3-context-aware-scoring
3-json-report-generation|_core/bash/json-config-loader/3-json-report-generation
3-multi-stage-workflow-architecture|_internal/builders/skill-creator/3-multi-stage-workflow-architecture
3-navigation-structure|_internal/documentation/mkdocs/3-navigation-structure
3-repository-status-check|_core/bash/git-sync-manager/3-repository-status-check
3-table-display|_core/bash/interactive-menu-builder/3-table-display
3-usage-summary-reports|_core/bash/usage-tracker/3-usage-summary-reports
4-multi-section-ini-parsing|_core/bash/json-config-loader/4-multi-section-ini-parsing
4-progress-tracking|_core/bash/parallel-batch-executor/4-progress-tracking
4-state-file-operations|_core/bash/state-directory-manager/4-state-file-operations
5-cache-management|_core/bash/state-directory-manager/5-cache-management
5-confidence-scoring|_core/bash/complexity-scorer/5-confidence-scoring
5-confirmation-dialogs|_core/bash/interactive-menu-builder/5-confirmation-dialogs
5-environment-variable-configuration|_core/bash/json-config-loader/5-environment-variable-configuration
5-error-handling|_core/bash/bash-cli-framework/5-error-handling
5-safe-branch-operations|_core/bash/git-sync-manager/5-safe-branch-operations
5-trend-analysis|_core/bash/usage-tracker/5-trend-analysis
6-code-blocks-with-features|_internal/documentation/mkdocs/6-code-blocks-with-features
6-yaml-configuration-via-yq|_core/bash/json-config-loader/6-yaml-configuration-via-yq
7-mermaid-diagrams|_internal/documentation/mkdocs/7-mermaid-diagrams
8-plugin-configuration|_internal/documentation/mkdocs/8-plugin-configuration
aceengineer-website-update|business/content-design/aceengineer-website-update
advanced-usage|_internal/builders/skill-creator/advanced-usage
agent-directories|_internal/meta/repo-cleanup/agent-directories
agent-usage-optimizer|ai/agent-usage-optimizer
ai-prompting|ai/prompting/ai-prompting
ai-tool-assessment|operations/devtools/ai-tool-assessment
api|engineering/standards/api
api12-drilling-analyzer|data/energy/api12-drilling-analyzer
aqwa-benchmark|engineering/marine-offshore/orcawave/aqwa-benchmark
bad-conceptual-only|_internal/builders/skill-creator/bad-conceptual-only
basic-code-block|_internal/documentation/mkdocs/basic-code-block
basic-template|_internal/builders/web-artifacts-builder/basic-template
batch-manager|engineering/marine-offshore/orcaflex/batch-manager
best-practices|_internal/workflows/brainstorming/best-practices
blender|engineering/cad/blender
bsee-data-extractor|data/energy/bsee-data-extractor
bsee-sodir-extraction|data/analysis/bsee-sodir-extraction
cad-engineering|engineering/cad/cad-engineering
cad-mesh-generation|data/scientific/cad-mesh-generation
canonical-reference|_internal/builders/skill-creator/canonical-reference
chartjs|data/visualization/chartjs
class-diagram|_internal/documentation/mkdocs/class-diagram
code-annotations|_internal/documentation/mkdocs/code-annotations
code-check|engineering/marine-offshore/orcaflex/code-check
code-review|development/github/code-review
collapsible-admonitions|_internal/documentation/mkdocs/collapsible-admonitions
common-cdn-libraries|_internal/builders/web-artifacts-builder/common-cdn-libraries
common-errors|_internal/builders/skill-creator/common-errors
common-hidden-folders|_internal/meta/repo-cleanup/common-hidden-folders
common-hidden-folders-reference|_internal/meta/hidden-folder-audit/common-hidden-folders-reference
common-issues|_internal/documentation/mkdocs/common-issues
communication|business/communication/communication
complexity-scorer|_core/bash/complexity-scorer
configuration-options|_internal/builders/skill-creator/configuration-options
conflict-resolution-patterns|_internal/meta/repo-cleanup/conflict-resolution-patterns
content-quality|_internal/builders/skill-creator/content-quality
core-principles|_internal/meta/discipline-refactor/core-principles
cowork-plugin-customizer|development/plugin-management/cowork-plugin-customizer
cp|engineering/doc-extraction/cp
creative-skill-template|_internal/builders/skill-creator/creative-skill-template
cross-platform-compat|_core/bash/cross-platform-compat
d3js|data/visualization/d3js
damping-sweep|engineering/marine-offshore/orcawave/damping-sweep
danger|_internal/documentation/mkdocs/danger
data-analysis|data/analysis/data-analysis
data-context-extractor|data/analytics/data-context-extractor
data-fetcher|data/energy/metocean/data-fetcher
data-management|data/analysis/data-management
detailed-instructions|_internal/builders/skill-creator/detailed-instructions
diffraction-analysis|engineering/marine-offshore/diffraction-analysis
discipline-refactor|_internal/meta/discipline-refactor
dnv|engineering/standards/dnv
echarts|data/visualization/echarts
economic-sensitivity-analyzer|data/energy/economic-sensitivity-analyzer
elite-frontend-ux|development/elite-frontend-ux
energy-data-visualizer|data/energy/energy-data-visualizer
entity-relationship|_internal/documentation/mkdocs/entity-relationship
environment-config|engineering/marine-offshore/orcaflex/environment-config
error-handling|_internal/workflows/brainstorming/error-handling
example-1-create-new-cli-tool|_core/bash/bash-script-framework/example-1-create-new-cli-tool
example-1-scenario-name|_internal/builders/skill-creator/example-1-scenario-name
excel-translation|data/analysis/excel-translation
execution-checklist|_internal/builders/web-artifacts-builder/execution-checklist
expense-tracking|business/admin/expense-tracking
extreme-analysis|engineering/marine-offshore/orcaflex/extreme-analysis
fatigue-analysis|engineering/marine-offshore/fatigue-analysis
fdas-economics|data/energy/fdas-economics
fe-analyst|engineering/marine-offshore/fe-analyst
field-analyzer|data/energy/field-analyzer
