family	approximate_count_or_sample_count	representative_paths	proposed_wiki_target	license_risk	extraction_policy
TechStreet Drop (third-party standards aggregator)	~12266 (top-level dir; bulk; org mix unknown until per-file inspection)	TechStreet Drop/<vendor>/<doc>.pdf	wiki/sources/doris-techstreet-drop.md (metadata-only); per-org standards page only after per-org license review	CRITICAL — TechStreet/IHS Markit/S&P Global aggregates licensed standards; per-seat licenses; redistribution and bulk OCR are commonly contractually prohibited	NONE; do not OCR, do not copy PDFs, do not extract clauses; wiki page documents existence + source-of-record path only. Defer any clause-level work to a separate per-org legal review.
Company Specs (operator/EPC/client confidential specifications)	~15864 (top-level dir; largest single bucket)	Company Specs/<client>/<discipline>/<doc>	wiki/sources/doris-company-specs.md (metadata-only catalog); confidentiality matrix beside it	CRITICAL — these are typically NDA-bound client deliverables (operator specs, EPC project specs); not third-party standards and not redistributable	NONE; record only top-level operator/EPC names if non-sensitive, file counts, and storage location. Per-client release requires explicit owner approval that is out of scope here.
BV (Bureau Veritas) Ship and Offshore Rules	~5325 (top-level dir; "BV Ship and Offshore Rules")	BV Ship and Offshore Rules/<rule-set>/<doc>.pdf	wiki/standards/bv-ship-offshore-rules.md (publisher landing page only)	HIGH — BV publishes some rule books with free public download but holds copyright and disallows redistribution; rule-set version drift is significant	METADATA-ONLY landing page identifying the BV rule families covered; cite via outbound link to BV's public Rule Notes portal. No OCR, no clause copy.
API (American Petroleum Institute)	~7516 mentions corpus-wide; 746 top-level dir	API/<doc>.pdf, embedded references inside Company Specs and TechStreet Drop	wiki/standards/api-overview.md (sub-pages per code_id only when there is internal value-add)	HIGH — API standards are paid copyrighted publications (e.g. API 17J, API RP 2A-WSD, API 14F)	METADATA-ONLY index of which API code_ids are present; one stub standards page per code_id when non-trivial internal commentary exists. Do not include scanned pages or clause text.
ASME	~5221 mentions corpus-wide; 130 top-level dir	ASME/<doc>.pdf	wiki/standards/asme-overview.md	HIGH — ASME B31.x, BPVC etc. are paid copyrighted publications	METADATA-ONLY landing page; defer any per-code page to a future scoped issue.
DnV / DNV	~150 mentions; 149 top-level dir ("DnV")	DnV/<doc>.pdf	wiki/standards/dnv-overview.md (cross-link existing dnv content under marine-engineering wiki)	MEDIUM-HIGH — current DNV standards (DNV-OS-*, DNV-ST-*, DNV-RP-*) are publicly downloadable from DNV's site but copyright DNV; redistribution restricted	METADATA-ONLY index. Reference DNV's public download portal as the canonical source rather than copying. Cross-link existing DNV-OS-E301 citation pilot in digitalmodel.
DeepStar (JIP)	~113 (top-level dir)	DeepStar/<phase>/<deliverable>	wiki/sources/doris-deepstar.md (membership-restricted source pointer)	HIGH — DeepStar deliverables are JIP-member-restricted; sharing outside member companies typically violates JIP terms	NONE; record existence and storage location only. No deliverable content into git/wiki.
Perry's Chemical Engineers' Handbook (McGraw-Hill)	~311 (top-level dir)	Perry's Chemical Engineers Handbook/<chapter>	(do not create page)	CRITICAL — McGraw-Hill copyrighted handbook; scanned page artefacts are clearly infringing if redistributed	NONE; flag for retention review under #2534. Do not OCR, do not catalog into wiki beyond a one-line existence note in the inventory plan itself.
ISO	~107 mentions corpus-wide	embedded inside Company Specs / TechStreet Drop / API folders	wiki/standards/iso-overview.md (only if internal commentary exists)	HIGH — ISO standards are paid copyrighted publications	METADATA-ONLY index of code_ids if any are referenced consistently. Do not OCR. Do not promote text.
ASTM	~7 mentions corpus-wide	embedded under Company Specs / TechStreet Drop	(do not create page)	HIGH — ASTM standards are paid copyrighted publications	NONE; volume too low to merit a wiki landing page. Document the count in the inventory plan only.
NORSOK	~1 mention corpus-wide	embedded reference	(do not create page)	LOW — NORSOK standards are publicly downloadable free of charge from standard.no; copyright Standards Norway	NONE; volume too low; cite NORSOK separately in marine-engineering wiki if/when needed.
OCIMF	0 mentions in DORIS codes corpus (out-of-scope here)	none in this corpus	(out-of-scope; #2227 covers OCIMF in acma-codes corpus)	N/A for this corpus	NONE in this plan; cross-link from inventory plan to #2227 / #2471 boundary note.
CSA	0 mentions in DORIS codes corpus (out-of-scope here)	none in this corpus	(out-of-scope; #2227 / #2471 cover CSA Z276 in acma-codes corpus)	N/A for this corpus	NONE in this plan; cross-link to #2471 (CSA-Z276-only) and #2227.
ABS	~14 mentions corpus-wide	embedded reference	(do not create page yet)	HIGH — ABS publishes both free Guides and paid Rules; copyright ABS	METADATA-ONLY note in inventory plan; no wiki page until volume justifies.
IEC	~11 mentions corpus-wide	embedded reference	(do not create page yet)	HIGH — IEC standards are paid copyrighted publications	METADATA-ONLY note; no wiki page until volume justifies.
NACE / AMPP	~7 mentions corpus-wide	embedded reference	(do not create page yet)	HIGH — NACE (now AMPP) standards are paid copyrighted publications	METADATA-ONLY note; no wiki page until volume justifies.
AWS / AWWA	~36 mentions corpus-wide	embedded reference	(do not create page yet)	HIGH — AWS welding standards and AWWA water standards are paid copyrighted publications	METADATA-ONLY note; no wiki page until volume justifies.
Residual / unclassified top-level entries	~293 (35197 total minus 8 known top-level groups summed)	heterogeneous	none	UNKNOWN — assume HIGH until characterized	NONE until a per-folder triage adds clarity. Flag in inventory plan under "open questions".
