priority	family	content_kind	bytes	absolute_path	rationale	extraction_method	target_wiki_page	confidentiality_risk
high	naval-architecture-design-brief	document	4397647	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/DB_Design Briefs/350106-SC-EN-003-SD-000104 Naval Architecture Design Brief Rev C1 (IFA).docx	Master naval-architecture framing for FST-1/FST-2; latest IFA revision (C1); supersedes B/B1/C/C2 of same doc number	docx-text-extract+1page-summary	wiki/sources/woodfibre-fst-naval-architecture-design-brief.md	high
high	structural-design-brief	document	4438341	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/DB_Design Briefs/350106-SC-EN-003-000009 FST Detailed Design Structural Design Brief Rev C.DOCX	Top-level structural scope and design intent for FST detailed design; latest rev C	docx-text-extract+1page-summary	wiki/sources/woodfibre-fst-structural-design-brief.md	high
high	structural-design-basis	document	2707008	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/DB_Design Briefs/350106-SC-EN-003-000009 FST Detailed Design Structural Design Basis Rev B.DOCX	Companion to brief (#2): documents loading and design-basis assumptions for the FST scantling work	docx-text-extract+1page-summary	wiki/sources/woodfibre-fst-structural-design-basis.md	high
high	model-test-correlation-report	pdf	13033642	/mnt/ace/acma-projects/31522-woodfibre-lng/04.Model Test Correlation/350106-SC-EN-003-SD-000114 Model Test Correlation Report Rev B.pdf	Canonical numerical-vs-physical-model correlation; cross-references Orcaflex test cases; only one revision exists at root	pdf-text-extract+1page-summary	wiki/sources/woodfibre-model-test-correlation-report.md	high
high	scantling-evaluation-fst1	document	13844821	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/RA_Reports/350106-SC-EN-003-SD-000010 FST-1 Initial Scantling Evaluation (ISE) Capricorn Assessment Report Rev B.DOCX	FST-1 ISE assessment over the converted Capricorn hull; primary structural-sizing report	docx-text-extract+1page-summary	wiki/sources/woodfibre-fst1-ise-capricorn-report.md	high
high	scantling-evaluation-fst2	document	13810226	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/RA_Reports/350106-SC-EN-003-SD-000024 FST-2 Initial Scantling Evaluation (ISE) Taurus Assessment Report Rev B.DOCX	FST-2 ISE companion to #5 over the Taurus hull; needed for cross-vessel comparison	docx-text-extract+1page-summary	wiki/sources/woodfibre-fst2-ise-taurus-report.md	high
high	mooring-interface-loads	pdf	14696632	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/TN_Technical Notes/WSP Interface loads/350106-SC-EN-003-SD-000163 Permanent Mooring Interface Loads- Rev C1.pdf	Mooring loads handed to WSP for jetty/dolphin design; downstream interface document; latest C1 supersedes B/C	pdf-text-extract+1page-summary	wiki/sources/woodfibre-permanent-mooring-interface-loads.md	high
high	stability-ballast-requirements	pdf	535582	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/TN_Technical Notes/Stability and Ballast Requirements/350106-SC-EN-003-SD-000158 Technical Note Stability and Ballast Requirements - Rev C.pdf	Operational stability and ballast philosophy; small file with high methodology density	pdf-text-extract+1page-summary	wiki/sources/woodfibre-stability-and-ballast-requirements.md	high
high	loading-arm-motions	pdf	1633664	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/TN_Technical Notes/Loading Arm Motions/350106-SC-EN-003-SD-000157 Technical Note Loading Arm Motions - Rev E.pdf	Loading-arm motion envelope at FST/LNGC interface; latest rev E (5 prior revs exist)	pdf-text-extract+1page-summary	wiki/sources/woodfibre-loading-arm-motions.md	high
high	operational-maintenance-failure-loadcases	pdf	4621629	/mnt/ace/acma-projects/31522-woodfibre-lng/05.Deliverables/TN_Technical Notes/Operational Maintenance and Failure Loadcases/350106-SC-EN-003-SD-000172 - Technical Note - Operational, Maintenance and Failure Critical Loadcases - Rev B.pdf	Defines critical loadcase selection downstream of design briefs; foundational for OrcaFlex run matrix	pdf-text-extract+1page-summary	wiki/sources/woodfibre-operational-maintenance-failure-loadcases.md	high
