priority	theme	content_kind	bytes	absolute_path	rationale	extraction_method	target_wiki_page	risk_note
1	reference-studies	pdf	99615872	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10046-0000-0-A.pdf	Largest general-engineering reference study in the SESA bucket; flagship technical input for the FLNG technical case	pdftotext-layout (page-batched, 50 pages/batch)	wiki/sources/elements-sesa-gsm-ao-g-ite-10046.md	~100 MB; OCR fallback may be required for scanned plates; bilingual UTF-8
1	reference-studies	pdf	33394945	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10008-0000-0-A Rev JRA.pdf	Reference study GSM-AO-G-ITE-10008 with DORIS reviewer (JRA) markup — supersedes base rev; 33 MB	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10008-rev-jra.md	Annotation overlays may collide with body text; pdfminer.six fallback if needed
1	reference-studies	pdf	19883012	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10033-0000-0-A.pdf	Reference study GSM-AO-G-ITE-10033 base rev; no JRA markup variant present in tree	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10033.md	bilingual UTF-8
1	reference-studies	pdf	18402503	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10010-0000-0-A Rev JRA.pdf	Reference study -10010 with JRA reviewer markup superseding base rev	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10010-rev-jra.md	annotation overlays
2	reference-studies	pdf	10906952	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10024-0000-1-A Rev JRA.pdf	Reference study -10024 (rev 1) JRA — same artifact also reused under 02-Free Span Analysis/Hilli; canonical path is Estudios de referencia	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10024-rev-jra.md	cross-folder duplicate at 10024-Hilli must be excluded from extraction
2	reference-studies	pdf	5860055	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10042-0000-1-A.pdf	Reference study -10042 rev 1; smaller but rounds out the G-ITE coverage	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10042.md	bilingual UTF-8
1	free-span-metocean	pdf	9280888	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/Metaoceánicos/MKII/GSM-AO-G-ITE-10029-0000-1-A.pdf	Metocean input study scoped to MKII vessel option; primary free-span input	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-g-ite-10029-mkii.md	folder name contains accented chars (Metaoceánicos) — verify path round-trips
1	free-span-metocean	docx	5793210	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/GSM-AO-L-MCA-10025-0000-A.docx	Editable source for the MKII free-span calc memo; complements the PDF final form	pandoc-to-markdown	wiki/sources/elements-sesa-gsm-ao-l-mca-10025-source.md	pair with the .pdf below; do not double-count text
1	free-span-metocean	pdf	4189013	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-03-Free Span Calcs/GSM-AO-L-MCA-10025-0000-A Free Span Calculation MKII.pdf	Final-form CTR-03 free-span calculation for MKII; canonical engineering output	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-mca-10025-final.md	figure-heavy; tables may need pdfminer.six layout
2	free-span-metocean	pdf	3916924	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10033-0001-A/GSM-AO-L-LYO-10033-0001-A.pdf	LYOS layout for free-span — vessel-option scoped layout drawing-set as PDF	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-lyo-10033.md	primarily layout drawings; may yield sparse text — keep figure references
