command,count
ls,5658
grep/search,4934
uv run,4849
cat <file>,4075
find,3054
bash,2700
#,1574
sed,1240
cd <dir>,979
git add,875
ssh,785
head <file>,731
git log,604
mkdir,563
sleep,521
git status,461
wc,460
gh issue,418
for,391
git diff,329
git push,277
python,256
cp,235
echo,222
timeout,211
git commit,204
git show,186
git -C,182
PYTHONPATH=src,179
rm,159
xdg-open,157
mv,149
gh api,147
chmod,127
tail <file>,119
ps,101
gh run,72
git stash,63
COMMIT=$(git,59
which,52
lsof,51
git ls-files,49
codex,48
git rev-parse,43
du,35
date,33
NOW=$(date,31
RUN_ID=$(gh,31
kill,30
git -c,26
hostname,25
claude,24
crontab,22
git checkout,21
ASSETS=/mnt/local-analysis/workspace-hub/.claude/work-queue/assets/WRK-1120,21
pwd,20
scripts/review/submit-to-codex.sh,19
"CLAUDE_SESSION_ID=""session-$(date",19
time,18
scripts/review/cross-review.sh,18
git branch,17
git rm,16
git submodule,15
awk,15
AD=/mnt/local-analysis/workspace-hub/.claude/work-queue/assets/WRK-1052,15
git remote,15
export,14
git check-ignore,13
PYTHONPATH=scripts/work-queue:$PYTHONPATH,13
HASH=$(git,12
ASSETS=/mnt/local-analysis/workspace-hub/.claude/work-queue/assets/WRK-1054,12
PYTHON=/home/vamsee/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu/bin/python3.11,12
./scripts/repository_sync,11
printf,11
stat,11
CODEX_TIMEOUT_SECONDS=180,11
test,11
"CLAUDE_SESSION_ID=""5e6adc33-fc6c-404f-9aeb-a8a6627672d1""",11
PYTHONPATH=scripts,11
touch,10
uv tool,10
file,10
df,10
"PYTHONPATH=""scripts""",10
pip,10
PYTHONPATH=.,10
git reset,9
set,9
diff,9
ASSETS=/mnt/local-analysis/workspace-hub/.claude/work-queue/assets/WRK-1075,9
pgrep,9
bats,9
ASSETS=/mnt/local-analysis/workspace-hub/.claude/work-queue/assets/WRK-1135/evidence,9
jq,8
SESSION_ID=$(date,8
"SESSION_ID=""session-$(date",8
scp,8
