function_name,file_path,module,applicable_standard,standard_section,confidence,notes
validate_inputs,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
solve,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_solver_metadata,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_status,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_results,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_config,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
set_config,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_all_config,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
set_input_data,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_input_data,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
set_validation_errors,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
get_validation_errors,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
add_validation_error,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
clear_validation_errors,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
has_validation_errors,infrastructure/base_solvers/base.py,infrastructure,Gap,,low,
to_dict,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
meets_threshold,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_comparison_to_baseline,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
to_dict,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_thresholds,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
execute,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
add_result,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
add_results,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
set_baseline,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_summary,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_by_category,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_failures,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
export_to_json,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
export_to_csv,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
register_benchmark,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
register_benchmarks,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
run_benchmark,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
run_all,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
save_results,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
get_report_data,infrastructure/base_solvers/benchmarks/benchmark_suite.py,infrastructure,Gap,,low,
benchmark_yaml_loading,infrastructure/base_solvers/benchmarks/configuration_benchmarks.py,infrastructure,Gap,,low,
load_yaml,infrastructure/base_solvers/benchmarks/configuration_benchmarks.py,infrastructure,Gap,,low,
benchmark_config_loader,infrastructure/base_solvers/benchmarks/configuration_benchmarks.py,infrastructure,Gap,,low,
load_config,infrastructure/base_solvers/benchmarks/configuration_benchmarks.py,infrastructure,Gap,,low,
benchmark_schema_validation,infrastructure/base_solvers/benchmarks/configuration_benchmarks.py,infrastructure,Gap,,low,
