extract_priority	wiki_domain_candidate	bucket	content_kind	extension	bytes	absolute_path	relative_path
high	marine-engineering	digitalmodel-riser-toolbox	document	.doc	162	/mnt/ace/digitalmodel/references/riser-toolbox/~$RQ-DOR-50-PR-RPT-0002.doc	~$RQ-DOR-50-PR-RPT-0002.doc
high	marine-engineering	digitalmodel-suction-pile-sizing	pdf	.pdf	94745	/mnt/ace/digitalmodel/references/suction-pile-sizing/SUCTION PILE SIZING PROGRAM.pdf	SUCTION PILE SIZING PROGRAM.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	99615872	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10046-0000-0-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10046-0000-0-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	33394945	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10008-0000-0-A Rev JRA.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10008-0000-0-A Rev JRA.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	33327361	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10008-0000-0-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10008-0000-0-A.pdf
medium	lng-projects	doris-62092-sesa	document	.doc	23694848	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A.doc	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A.doc
medium	lng-projects	doris-62092-sesa	document	.doc	23694848	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A.doc	999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A.doc
medium	lng-projects	doris-62092-sesa	document	.doc	23694848	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-08/GSM-AO-Q-PRO-10066-0000-A.doc	999 Work Space/JWhipple/CTR-08/GSM-AO-Q-PRO-10066-0000-A.doc
medium	lng-projects	doris-62092-sesa	pdf	.pdf	19883012	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10033-0000-0-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10033-0000-0-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	19630992	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/FSosa/API Standards/API 6DSS.pdf	999 Work Space/CTR-01-Valves/FSosa/API Standards/API 6DSS.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	18402503	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10010-0000-0-A Rev JRA.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10010-0000-0-A Rev JRA.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	18390006	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10010-0000-0-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10010-0000-0-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	14097966	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	14097966	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A-B.pdf	999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	13864349	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/GSM-AO-L-MCA-10022-0000-A w comments CODE B.pdf	999 Work Space/CTR-10/GSM-AO-L-MCA-10022-0000-A w comments CODE B.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	13786943	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-08/GSM-AO-Q-PRO-10066-0000-A.docx	999 Work Space/JWhipple/CTR-08/GSM-AO-Q-PRO-10066-0000-A.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	13181081	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-L-MCA-10022-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-L-MCA-10022-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	10906952	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10024-0000-1-A Rev JRA.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10024-0000-1-A Rev JRA.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	10891132	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10024-0000-1-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10024-0000-1-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	10869356	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/Metaoceánicos/Hilli/GSM-AO-G-ITE-10024-0000-1-A.pdf	000 Client Supplied/02-Free Span Analysis/1/Metaoceánicos/Hilli/GSM-AO-G-ITE-10024-0000-1-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9280888	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/Metaoceánicos/MKII/GSM-AO-G-ITE-10029-0000-1-A.pdf	000 Client Supplied/02-Free Span Analysis/1/Metaoceánicos/MKII/GSM-AO-G-ITE-10029-0000-1-A.pdf
